Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,SPY,TSLA,AAPL,SPY,TSLA,AAPL,SPY,TSLA,AAPL,SPY,TSLA,AAPL,SPY,TSLA,AAPL,SPY,TSLA
Date,,,,,,,,,,,,,,,,,,
2013-01-02,16.76909065246582,119.49203491210938,2.357332944869995,19.608213424682617,146.05999755859375,2.357332944869995,19.821428298950195,146.14999389648438,2.363332986831665,19.343929290771484,144.72999572753906,2.313999891281128,19.779285430908203,145.11000061035156,2.3333330154418945,560518000,192059000,17922000
2013-01-03,16.557430267333984,119.22203063964844,2.318000078201294,19.360713958740234,145.72999572753906,2.318000078201294,19.631071090698242,146.3699951171875,2.363332986831665,19.321428298950195,145.33999633789062,2.316667079925537,19.567142486572266,145.99000549316406,2.3453330993652344,352965200,144761800,11130000
2013-01-04,16.09622573852539,119.74564361572266,2.293333053588867,18.821428298950195,146.3699951171875,2.293333053588867,19.236785888671875,146.61000061035156,2.319999933242798,18.77964210510254,145.6699981689453,2.2613329887390137,19.177499771118164,145.97000122070312,2.319999933242798,594333600,116817700,10110000
2013-01-07,16.00154685974121,119.41846466064453,2.2893331050872803,18.71071434020996,145.97000122070312,2.2893331050872803,18.9035701751709,146.11000061035156,2.319999933242798,18.399999618530273,145.42999267578125,2.259999990463257,18.64285659790039,145.85000610351562,2.319999933242798,484156400,110002500,6630000
2013-01-08,16.04461669921875,119.07476806640625,2.245332956314087,18.761070251464844,145.5500030517578,2.245332956314087,18.996070861816406,145.91000366210938,2.299999952316284,18.616071701049805,144.97999572753906,2.2073330879211426,18.90035629272461,145.7100067138672,2.299999952316284,458707200,121265100,19260000
2013-01-09,15.793844223022461,119.37750244140625,2.2426669597625732,18.467857360839844,145.9199981689453,2.2426669597625732,18.750356674194336,146.32000732421875,2.2793331146240234,18.428213119506836,145.63999938964844,2.2266669273376465,18.66071319580078,145.8699951171875,2.2673330307006836,407604400,90745600,10470000
2013-01-10,15.98963737487793,120.32649993896484,2.23533296585083,18.696786880493164,147.0800018310547,2.23533296585083,18.882856369018555,147.08999633789062,2.2660000324249268,18.411428451538086,145.97000122070312,2.2253329753875732,18.876785278320312,146.72999572753906,2.257999897003174,601146000,130735400,13837500
2013-01-11,15.891589164733887,120.31830596923828,2.194000005722046,18.582143783569336,147.07000732421875,2.194000005722046,18.761428833007812,147.14999389648438,2.2693328857421875,18.536428451538086,146.61000061035156,2.140666961669922,18.60714340209961,147.0399932861328,2.2693328857421875,350506800,113917300,23448000
2013-01-14,15.325016975402832,120.2364730834961,2.2173330783843994,17.91964340209961,146.97000122070312,2.2173330783843994,18.125,147.07000732421875,2.2253329753875732,17.80392837524414,146.42999267578125,2.190000057220459,17.952856063842773,146.88999938964844,2.2053329944610596,734207600,89567200,13876500
2013-01-15,14.841516494750977,120.31830596923828,2.259999990463257,17.354286193847656,147.07000732421875,2.259999990463257,17.82107162475586,147.2100067138672,2.2833330631256104,17.26357078552246,146.1999969482422,2.2053329944610596,17.796428680419922,146.2899932861328,2.2073330879211426,876772400,93172600,24363000
2013-01-16,15.457573890686035,120.30191040039062,2.2733330726623535,18.074642181396484,147.0500030517578,2.2733330726623535,18.194286346435547,147.27999877929688,2.2820000648498535,17.58928680419922,146.61000061035156,2.248667001724243,17.665714263916016,146.77000427246094,2.256666898727417,690804800,104849500,20673000
2013-01-17,15.353416442871094,121.07913970947266,2.2920000553131104,17.952856063842773,148.0,2.2920000553131104,18.241071701049805,148.4199981689453,2.3233330249786377,17.929643630981445,147.14999389648438,2.2613329887390137,18.225357055664062,147.6999969482422,2.2773330211639404,453678400,133833500,21550500
2013-01-18,15.271561622619629,121.34912872314453,2.301332950592041,17.85714340209961,148.3300018310547,2.301332950592041,17.93642807006836,148.49000549316406,2.318666934967041,17.72857093811035,147.42999267578125,2.254667043685913,17.804285049438477,147.97000122070312,2.315999984741211,472922800,169906000,53326500
2013-01-22,15.417252540588379,122.00359344482422,2.3459999561309814,18.02750015258789,149.1300048828125,2.3459999561309814,18.13857078552246,149.1300048828125,2.369999885559082,17.736785888671875,147.97999572753906,2.2839999198913574,18.020000457763672,148.3300018310547,2.303999900817871,461546400,111797300,28803000
2013-01-23,15.699472427368164,122.19991302490234,2.4000000953674316,18.357500076293945,149.3699951171875,2.4000000953674316,18.392499923706055,149.5,2.4159998893737793,18.02750015258789,148.86000061035156,2.330667018890381,18.171785354614258,149.1300048828125,2.3346669673919678,861509600,104596100,23464500
2013-01-24,13.759679794311523,122.23262786865234,2.4660000801086426,16.08928680419922,149.41000366210938,2.4660000801086426,16.633214950561523,150.13999938964844,2.51466703414917,16.08035659790039,149.00999450683594,2.3893330097198486,16.428571701049805,149.14999389648438,2.4000000953674316,1460852400,146426400,29556000
2013-01-25,13.435312271118164,122.91986083984375,2.4653329849243164,15.710000038146973,150.25,2.4653329849243164,16.293928146362305,150.25,2.50266695022583,15.535714149475098,149.3699951171875,2.4533329010009766,16.131786346435547,149.8800048828125,2.4666669368743896,1208026400,147211600,19317000
2013-01-28,13.739215850830078,122.77257537841797,2.5353329181671143,16.065357208251953,150.07000732421875,2.5353329181671143,16.186071395874023,150.3300018310547,2.580667018890381,15.566429138183594,149.50999450683594,2.4573330879211426,15.636786460876465,150.2899932861328,2.4573330879211426,785517600,113357700,29790000
2013-01-29,13.997000694274902,123.25527954101562,2.5299999713897705,16.366785049438477,150.66000366210938,2.5299999713897705,16.435714721679688,150.85000610351562,2.562666893005371,16.14714241027832,149.6699981689453,2.4753329753875732,16.375,149.77000427246094,2.5399999618530273,571158000,105694400,21399000
2013-01-30,13.95301628112793,122.77257537841797,2.501332998275757,16.315357208251953,150.07000732421875,2.501332998275757,16.52142906188965,150.94000244140625,2.5333330631256104,16.23214340209961,149.92999267578125,2.495332956314087,16.321428298950195,150.63999938964844,2.5233330726623535,417155200,137447700,14521500
2013-01-31,13.912090301513672,122.46991729736328,2.500667095184326,16.267499923706055,149.6999969482422,2.500667095184326,16.402856826782227,150.3800048828125,2.5246670246124268,16.249286651611328,149.60000610351562,2.4619998931884766,16.320714950561523,149.88999938964844,2.5246670246124268,319334400,108975800,13521000
2013-02-01,13.854975700378418,123.72977447509766,2.553333044052124,16.200714111328125,151.24000549316406,2.553333044052124,16.40999984741211,151.4199981689453,2.566667079925537,16.012500762939453,150.38999938964844,2.507999897003174,16.396785736083984,150.64999389648438,2.5446670055389404,539484400,131173000,16509000
2013-02-04,13.509834289550781,122.33903503417969,2.5160000324249268,15.79714298248291,149.5399932861328,2.5160000324249268,16.283571243286133,151.27000427246094,2.561332941055298,15.785714149475098,149.42999267578125,2.50600004196167,16.211071014404297,150.32000732421875,2.559999942779541,477117200,159073600,16920000
2013-02-05,13.983871459960938,123.5743637084961,2.5420000553131104,16.351428985595703,151.0500030517578,2.5420000553131104,16.419286727905273,151.47999572753906,2.576667070388794,15.793571472167969,150.2899932861328,2.51200008392334,15.858928680419922,150.35000610351562,2.5333330631256104,573347600,113912400,19653000
2013-02-06,13.96889877319336,123.66435241699219,2.611332893371582,16.33392906188965,151.16000366210938,2.611332893371582,16.66071319580078,151.25999450683594,2.625999927520752,16.163570404052734,150.41000366210938,2.5266671180725098,16.302499771118164,150.52000427246094,2.545332908630371,593706400,138762800,28398000
2013-02-07,14.384248733520508,123.50074005126953,2.631999969482422,16.722143173217773,150.9600067138672,2.631999969482422,16.78571319580078,151.35000610351562,2.6453330516815186,16.218570709228516,149.86000061035156,2.5966670513153076,16.54464340209961,151.2100067138672,2.6126670837402344,704580800,162490000,17949000
2013-02-08,14.591926574707031,124.18798828125,2.615999937057495,16.963571548461914,151.8000030517578,2.615999937057495,17.100357055664062,151.88999938964844,2.6666669845581055,16.72321319580078,151.22000122070312,2.609333038330078,16.928571701049805,151.22000122070312,2.630000114440918,633158400,103133700,17097000
2013-02-11,14.743992805480957,124.16341400146484,2.561332941055298,17.140356063842773,151.77000427246094,2.561332941055298,17.319286346435547,151.89999389648438,2.609999895095825,16.90178680419922,151.38999938964844,2.5,17.01785659790039,151.74000549316406,2.5320000648498535,517490400,73775000,48994500
2013-02-12,14.374419212341309,124.367919921875,2.5260000228881836,16.71071434020996,152.02000427246094,2.5260000228881836,17.22785758972168,152.3000030517578,2.5913329124450684,16.704999923706055,151.61000061035156,2.4860000610351562,17.125356674194336,151.77999877929688,2.563333034515381,609053200,65392700,33919500
2013-02-13,14.347079277038574,124.47431182861328,2.563333034515381,16.67892837524414,152.14999389648438,2.563333034515381,16.915714263916016,152.61000061035156,2.5999999046325684,16.54357147216797,151.72000122070312,2.5366671085357666,16.686071395874023,152.3300018310547,2.553333044052124,475207600,82322600,14502000
2013-02-14,14.334173202514648,124.58883666992188,2.551332950592041,16.663928985595703,152.2899932861328,2.551332950592041,16.84428596496582,152.47000122070312,2.5833330154418945,16.5721435546875,151.52000427246094,2.547333002090454,16.59000015258789,151.69000244140625,2.5759999752044678,355275200,80834300,14860500
2013-02-15,14.136635780334473,124.44156646728516,2.4693329334259033,16.43428611755371,152.11000061035156,2.4693329334259033,16.79142951965332,152.58999633789062,2.5673329830169678,16.42571449279785,151.5500030517578,2.4633328914642334,16.74464225769043,152.42999267578125,2.566667079925537,391745200,215226500,30264000
